company,time,area,location,waste_generated,quality_grade,selling_price
Satya Papers,25/03/2022,4737,Kolkata,81.0,Q2,214428
Satya Papers,10/03/2023,2297,Mumbai,80.0,Q1,231445
Satya Papers,03/12/2021,2968,Kolkata,93.0,Q2,246630
Reliance Industries,24/09/2021,3877,Bangalore,89.0,Q1,257048
Tata Group,15/01/2021,1202,Mumbai,59.0,Q1,171300
Satya Papers,05/03/2021,3745,Chennai,115.0,Q3,304118
Tata Group,26/11/2021,4481,Kolkata,67.0,Q2,177615
Satya Papers,22/07/2022,1527,Kolkata,75.0,Q1,197779
Tata Group,08/10/2021,3299,Kolkata,74.0,Q2,194234
Tata Group,30/12/2022,1609,Mumbai,62.0,Q1,177655
Adani Group,30/09/2022,4722,Chennai,148.0,Q3,390350
Infosys,04/11/2022,2088,Delhi,45.0,Q1,129040
Adani Group,01/07/2022,1524,Mumbai,66.0,Q1,191269
Infosys,28/10/2022,3837,Mumbai,104.0,Q3,298485
Infosys,23/07/2021,1204,Delhi,62.0,Q1,178241
Infosys,09/09/2022,2626,Bangalore,90.0,Q2,258563
Tata Group,26/02/2021,2393,Delhi,67.0,Q1,192169
Reliance Industries,16/06/2023,1444,Kolkata,57.0,Q1,150379
Adani Group,19/03/2021,2319,Chennai,64.0,Q1,169177
Infosys,01/04/2022,2371,Mumbai,76.0,Q1,218530
Reliance Industries,27/08/2021,3104,Kolkata,100.0,Q1,263652
Adani Group,17/03/2023,1784,Mumbai,69.0,Q1,199803
Satya Papers,12/03/2021,3883,Delhi,114.0,Q3,329670
Adani Group,05/11/2021,4906,Chennai,85.0,Q1,225260
Adani Group,21/05/2021,4271,Delhi,99.0,Q1,286336
Satya Papers,22/09/2023,2326,Bangalore,103.0,Q3,296025
Adani Group,30/09/2022,3235,Chennai,68.0,Q1,179913
Tata Group,07/10/2022,4276,Kolkata,80.0,Q1,211917
Infosys,12/08/2022,1016,Delhi,37.0,Q1,105749
Satya Papers,06/10/2023,1276,Chennai,110.0,Q3,290191
Reliance Industries,03/09/2021,4468,Bangalore,78.0,Q2,225425
Tata Group,20/10/2023,3387,Kolkata,111.0,Q3,293935
Satya Papers,05/08/2022,2759,Bangalore,55.0,Q2,159160
Adani Group,28/10/2022,2608,Kolkata,78.0,Q1,206554
Tata Group,15/01/2021,2992,Kolkata,29.0,Q1,75560
Infosys,19/02/2021,1270,Chennai,60.0,Q1,157712
Satya Papers,08/01/2021,1234,Chennai,75.0,Q2,198265
Satya Papers,14/05/2021,2216,Kolkata,63.0,Q1,165290
Tata Group,10/11/2023,3314,Chennai,101.0,Q3,267533
Tata Group,28/10/2022,2384,Bangalore,61.0,Q2,175233
Tata Group,11/02/2022,1726,Delhi,78.0,Q2,223385
Satya Papers,25/06/2021,2286,Kolkata,54.0,Q2,142747
Tata Group,05/03/2021,3099,Chennai,86.0,Q1,226908
Infosys,06/10/2023,3556,Delhi,107.0,Q3,308168
Infosys,14/05/2021,3706,Delhi,99.0,Q1,284830
Infosys,16/04/2021,3880,Mumbai,70.0,Q1,201115
Adani Group,22/12/2023,4384,Bangalore,97.0,Q2,279613
Satya Papers,12/08/2022,4846,Mumbai,92.0,Q2,264003
Satya Papers,20/08/2021,2655,Kolkata,102.0,Q3,269397
Tata Group,25/03/2022,2820,Mumbai,58.0,Q1,165914
Infosys,23/06/2023,2859,Bangalore,63.0,Q1,182500
Tata Group,19/11/2021,3942,Delhi,69.0,Q2,198101
Satya Papers,10/03/2023,4025,Bangalore,98.0,Q2,283294
Satya Papers,29/04/2022,4678,Mumbai,96.0,Q1,277443
Satya Papers,08/12/2023,1487,Bangalore,88.0,Q2,252489
Infosys,24/09/2021,3884,Kolkata,123.0,Q3,324589
Infosys,28/04/2023,3871,Kolkata,97.0,Q2,255170
Infosys,01/09/2023,2579,Mumbai,52.0,Q1,148394
Satya Papers,25/11/2022,3260,Delhi,63.0,Q2,180282
Tata Group,10/09/2021,4283,Mumbai,71.0,Q2,203928
Satya Papers,30/06/2023,3589,Mumbai,61.0,Q2,176363
Adani Group,17/09/2021,4397,Delhi,118.0,Q3,340736
Satya Papers,03/12/2021,1021,Kolkata,91.0,Q2,239967
Satya Papers,26/02/2021,4209,Kolkata,59.0,Q2,156584
Reliance Industries,15/09/2023,4857,Delhi,59.0,Q2,170822
Infosys,23/06/2023,3281,Delhi,88.0,Q2,252749
Adani Group,23/12/2022,4804,Delhi,74.0,Q2,213846
Adani Group,12/11/2021,2491,Kolkata,79.0,Q2,209669
Satya Papers,15/10/2021,4489,Kolkata,87.0,Q2,228551
Tata Group,13/01/2023,3292,Kolkata,75.0,Q2,198533
Reliance Industries,19/11/2021,1762,Chennai,64.0,Q1,168077
Tata Group,11/02/2022,3091,Chennai,55.0,Q1,144074
Infosys,22/12/2023,3767,Bangalore,98.0,Q2,282912
Reliance Industries,06/10/2023,1229,Delhi,58.0,Q2,167134
Reliance Industries,17/12/2021,2714,Chennai,65.0,Q1,171527
Infosys,05/03/2021,2408,Delhi,38.0,Q1,110811
Reliance Industries,01/07/2022,3673,Bangalore,106.0,Q3,306178
Tata Group,12/02/2021,3901,Delhi,109.0,Q3,313451
Adani Group,19/11/2021,3299,Chennai,89.0,Q1,235733
Satya Papers,15/12/2023,2881,Delhi,67.0,Q2,193282
Reliance Industries,27/10/2023,2946,Chennai,81.0,Q1,214054
Tata Group,17/12/2021,2082,Chennai,130.0,Q3,343204
Adani Group,12/11/2021,3008,Mumbai,84.0,Q1,240963
Reliance Industries,21/01/2022,2419,Mumbai,83.0,Q2,240051
Infosys,10/11/2023,1400,Delhi,39.0,Q1,111015
Adani Group,08/10/2021,3738,Kolkata,79.0,Q2,209641
Satya Papers,04/03/2022,1585,Chennai,57.0,Q1,149252
Adani Group,10/09/2021,1501,Mumbai,45.0,Q1,129029
Infosys,22/09/2023,1293,Chennai,75.0,Q1,197045
Reliance Industries,29/01/2021,3806,Delhi,110.0,Q3,317714
Infosys,14/04/2023,4856,Chennai,84.0,Q2,222471
Adani Group,08/07/2022,2816,Bangalore,85.0,Q2,245710
Satya Papers,13/10/2023,4238,Delhi,113.0,Q3,326011
Infosys,03/11/2023,1824,Mumbai,66.0,Q1,189286
Infosys,08/04/2022,2892,Mumbai,57.0,Q2,163582
Reliance Industries,24/12/2021,3431,Mumbai,78.0,Q1,224647
Tata Group,22/09/2023,2249,Mumbai,92.0,Q2,265274
Reliance Industries,22/10/2021,1901,Kolkata,63.0,Q1,165611
Tata Group,15/10/2021,3754,Kolkata,88.0,Q2,232224
Adani Group,02/12/2022,4477,Bangalore,96.0,Q1,277030
Satya Papers,07/07/2023,3859,Delhi,103.0,Q3,296603
Adani Group,01/04/2022,4312,Chennai,84.0,Q1,221239
Satya Papers,25/03/2022,4988,Kolkata,86.0,Q1,226500
Reliance Industries,21/07/2023,1553,Mumbai,66.0,Q2,190433
Tata Group,15/07/2022,2550,Bangalore,64.0,Q1,183526
Tata Group,20/10/2023,4702,Chennai,93.0,Q2,245242
Infosys,09/04/2021,4066,Mumbai,110.0,Q3,316489
Tata Group,06/05/2022,3951,Mumbai,100.0,Q3,288883
Reliance Industries,10/12/2021,1818,Chennai,92.0,Q2,242291
Reliance Industries,18/03/2022,1596,Delhi,51.0,Q2,147455
Tata Group,17/12/2021,2845,Chennai,78.0,Q2,206997
Infosys,12/03/2021,1569,Bangalore,70.0,Q1,201870
Satya Papers,01/12/2023,1860,Chennai,47.0,Q1,123512
Reliance Industries,14/10/2022,4345,Chennai,80.0,Q1,210419
Adani Group,08/12/2023,1844,Bangalore,71.0,Q1,203255
Tata Group,25/06/2021,2720,Chennai,55.0,Q1,146164
Adani Group,30/07/2021,1393,Chennai,30.0,Q1,78410
Satya Papers,30/06/2023,1535,Bangalore,97.0,Q1,279832
Adani Group,22/07/2022,2200,Chennai,46.0,Q1,121080
Satya Papers,21/05/2021,4358,Delhi,129.0,Q3,372953
Tata Group,16/12/2022,2767,Delhi,49.0,Q1,142264
Tata Group,10/02/2023,1573,Kolkata,64.0,Q1,167915
Reliance Industries,15/12/2023,4579,Kolkata,93.0,Q2,245585
Satya Papers,21/10/2022,4938,Mumbai,75.0,Q1,214771
Reliance Industries,01/09/2023,3467,Delhi,86.0,Q2,247966
Infosys,27/10/2023,4304,Chennai,75.0,Q1,198279
Adani Group,14/04/2023,1266,Mumbai,52.0,Q1,150402
Infosys,16/07/2021,3957,Delhi,103.0,Q3,295327
Satya Papers,08/07/2022,2215,Delhi,81.0,Q2,233961
Tata Group,17/09/2021,1642,Bangalore,109.0,Q3,313798
Infosys,16/07/2021,4026,Kolkata,86.0,Q2,228120
Reliance Industries,12/11/2021,2346,Kolkata,92.0,Q1,243823
Reliance Industries,14/10/2022,1311,Chennai,77.0,Q1,204291
Tata Group,11/11/2022,3922,Bangalore,106.0,Q3,303901
Adani Group,03/06/2022,1074,Kolkata,60.0,Q2,159429
Tata Group,08/01/2021,1911,Chennai,61.0,Q1,160871
Infosys,20/05/2022,4496,Kolkata,104.0,Q3,273278
Adani Group,11/03/2022,2812,Kolkata,98.0,Q1,257836
Adani Group,07/07/2023,2687,Delhi,67.0,Q1,192152
Reliance Industries,05/02/2021,4997,Chennai,119.0,Q3,314978
Satya Papers,21/04/2023,4246,Mumbai,103.0,Q3,297138
Satya Papers,23/04/2021,1356,Chennai,74.0,Q1,194413
Infosys,17/12/2021,2827,Kolkata,96.0,Q1,254124
Adani Group,01/12/2023,1118,Bangalore,87.0,Q2,250425
Infosys,22/01/2021,4324,Chennai,73.0,Q2,191564
Infosys,14/05/2021,4506,Chennai,105.0,Q3,276983
Satya Papers,29/04/2022,1512,Mumbai,70.0,Q2,201634
Infosys,21/05/2021,1980,Delhi,108.0,Q3,309731
Tata Group,18/08/2023,2123,Mumbai,75.0,Q1,217138
Adani Group,11/03/2022,4257,Delhi,111.0,Q3,319335
Tata Group,22/07/2022,3227,Kolkata,72.0,Q1,190519
Satya Papers,19/05/2023,3103,Kolkata,52.0,Q2,136807
Satya Papers,07/10/2022,2262,Delhi,54.0,Q2,154205
Adani Group,19/11/2021,3931,Mumbai,54.0,Q2,154792
Adani Group,27/08/2021,3006,Kolkata,83.0,Q2,218446
Reliance Industries,18/11/2022,3613,Delhi,105.0,Q3,303031
Satya Papers,06/05/2022,3320,Bangalore,82.0,Q2,236170
Satya Papers,01/01/2021,2853,Kolkata,68.0,Q2,178361
Reliance Industries,18/08/2023,4588,Chennai,90.0,Q1,237774
Satya Papers,29/07/2022,1695,Delhi,93.0,Q1,268580
Tata Group,20/05/2022,2159,Chennai,66.0,Q1,173837
Satya Papers,26/08/2022,3753,Bangalore,117.0,Q3,337138
Infosys,23/09/2022,4253,Bangalore,83.0,Q1,238455
Infosys,10/02/2023,2465,Kolkata,50.0,Q2,132141
Satya Papers,30/04/2021,2745,Delhi,53.0,Q2,152992
Tata Group,09/12/2022,2004,Bangalore,83.0,Q2,240194
Satya Papers,25/08/2023,1729,Delhi,59.0,Q1,171298
Satya Papers,08/07/2022,1598,Chennai,58.0,Q2,152845
Adani Group,16/12/2022,1942,Delhi,44.0,Q1,125502
Satya Papers,10/11/2023,1361,Delhi,88.0,Q2,253896
Satya Papers,15/12/2023,4313,Mumbai,88.0,Q1,254528
Satya Papers,26/02/2021,4745,Delhi,90.0,Q1,259379
Infosys,10/02/2023,2963,Chennai,52.0,Q1,137210
Reliance Industries,22/12/2023,3216,Kolkata,62.0,Q2,163561
Tata Group,23/07/2021,3494,Delhi,39.0,Q1,112256
Reliance Industries,04/02/2022,3975,Bangalore,69.0,Q1,198826
Reliance Industries,17/11/2023,1084,Bangalore,68.0,Q2,196539
Tata Group,28/04/2023,3967,Mumbai,76.0,Q1,217531
Infosys,23/06/2023,3581,Kolkata,111.0,Q3,292644
Infosys,20/01/2023,4226,Chennai,100.0,Q3,264495
Infosys,06/01/2023,3252,Mumbai,67.0,Q1,194397
Adani Group,30/07/2021,4215,Delhi,67.0,Q1,194178
Reliance Industries,15/10/2021,1306,Kolkata,57.0,Q2,151388
Adani Group,13/10/2023,2438,Chennai,105.0,Q3,277111
Tata Group,05/11/2021,2126,Mumbai,67.0,Q2,192843
Adani Group,18/11/2022,3187,Chennai,56.0,Q1,146869
Satya Papers,30/04/2021,4074,Chennai,107.0,Q3,281519
Satya Papers,28/07/2023,4702,Bangalore,95.0,Q2,273018
Reliance Industries,23/07/2021,1283,Bangalore,77.0,Q1,222086
Adani Group,18/08/2023,4054,Delhi,115.0,Q3,331344
Tata Group,21/05/2021,3550,Delhi,99.0,Q2,285255
Tata Group,08/10/2021,1654,Chennai,41.0,Q1,107542
Reliance Industries,30/07/2021,4670,Chennai,100.0,Q3,264111
Satya Papers,29/10/2021,4868,Kolkata,77.0,Q2,202431
Reliance Industries,28/04/2023,3225,Delhi,80.0,Q1,231349
Reliance Industries,23/12/2022,3671,Mumbai,72.0,Q2,206450
Reliance Industries,14/07/2023,3572,Bangalore,124.0,Q3,356377
Tata Group,10/06/2022,1047,Bangalore,75.0,Q1,216804
Satya Papers,14/10/2022,2435,Mumbai,70.0,Q2,200489
Tata Group,21/04/2023,1096,Delhi,82.0,Q2,235418
Tata Group,22/04/2022,1558,Mumbai,60.0,Q2,173102
Tata Group,02/12/2022,1676,Mumbai,60.0,Q2,173682
Infosys,26/02/2021,4098,Mumbai,71.0,Q1,203792
Satya Papers,03/12/2021,2787,Bangalore,119.0,Q3,342123
Tata Group,10/11/2023,1792,Bangalore,99.0,Q1,284860
Adani Group,23/04/2021,4418,Mumbai,75.0,Q1,216988
Infosys,08/12/2023,1839,Kolkata,53.0,Q2,139086
Tata Group,12/08/2022,3086,Delhi,75.0,Q1,216759
Satya Papers,29/04/2022,3687,Kolkata,98.0,Q1,258917
Infosys,17/12/2021,3491,Mumbai,72.0,Q1,206278
Adani Group,21/07/2023,3901,Delhi,69.0,Q1,198877
Satya Papers,22/07/2022,3500,Bangalore,104.0,Q3,300641
Tata Group,09/04/2021,4996,Chennai,88.0,Q1,231050
Tata Group,28/07/2023,3732,Kolkata,87.0,Q2,230484
Infosys,23/04/2021,4642,Bangalore,142.0,Q3,407863
Satya Papers,18/08/2023,3482,Chennai,133.0,Q3,351570
Adani Group,08/07/2022,2166,Bangalore,98.0,Q1,283670
Adani Group,14/07/2023,3930,Chennai,77.0,Q2,204314
Reliance Industries,29/07/2022,2287,Chennai,97.0,Q1,254850
Infosys,09/12/2022,4785,Bangalore,128.0,Q3,369629
Reliance Industries,17/11/2023,2049,Kolkata,45.0,Q1,119718
Satya Papers,23/07/2021,2499,Mumbai,70.0,Q1,201492
Satya Papers,15/01/2021,3807,Mumbai,65.0,Q2,185815
Infosys,25/06/2021,1786,Bangalore,64.0,Q2,183580
Satya Papers,23/09/2022,4731,Bangalore,103.0,Q3,295671
Tata Group,10/12/2021,4129,Kolkata,94.0,Q2,249423
Infosys,01/01/2021,3422,Chennai,81.0,Q1,214788
Infosys,08/01/2021,3094,Bangalore,71.0,Q1,204546
Satya Papers,24/11/2023,1070,Kolkata,64.0,Q2,170136
Adani Group,26/11/2021,3884,Delhi,95.0,Q1,274546
Tata Group,16/07/2021,2997,Bangalore,79.0,Q1,227106
Tata Group,08/04/2022,3714,Delhi,60.0,Q2,173967
Adani Group,13/08/2021,1959,Mumbai,48.0,Q1,137612
Infosys,14/07/2023,4280,Delhi,107.0,Q3,308032
Tata Group,04/02/2022,4713,Mumbai,100.0,Q1,287292
Infosys,19/03/2021,3304,Mumbai,100.0,Q3,289431
Tata Group,09/09/2022,1951,Delhi,88.0,Q2,254138
Infosys,13/08/2021,4576,Mumbai,82.0,Q1,237574
Satya Papers,15/01/2021,4086,Chennai,100.0,Q2,262897
Satya Papers,30/06/2023,4321,Chennai,102.0,Q3,268618
Infosys,09/09/2022,3812,Chennai,108.0,Q3,285906
Satya Papers,27/08/2021,2603,Delhi,46.0,Q1,133605
Satya Papers,21/01/2022,4652,Bangalore,98.0,Q2,281891
Adani Group,21/07/2023,3389,Delhi,83.0,Q2,239158
Adani Group,07/10/2022,1656,Kolkata,61.0,Q2,161047
Reliance Industries,11/06/2021,4340,Chennai,55.0,Q2,146133
Adani Group,24/06/2022,4351,Bangalore,76.0,Q2,220132
Infosys,21/05/2021,2498,Bangalore,89.0,Q1,257732
Tata Group,16/07/2021,4260,Delhi,80.0,Q1,229418
Tata Group,19/03/2021,1602,Delhi,56.0,Q2,161639
Infosys,21/04/2023,3647,Mumbai,70.0,Q1,201338
Infosys,10/02/2023,2954,Chennai,36.0,Q1,95568
Satya Papers,11/11/2022,2289,Mumbai,92.0,Q2,266316
Reliance Industries,16/07/2021,3118,Kolkata,97.0,Q1,255182
Satya Papers,26/11/2021,3369,Kolkata,54.0,Q2,141872
Infosys,23/12/2022,2065,Bangalore,80.0,Q1,229015
Adani Group,17/11/2023,2644,Kolkata,70.0,Q2,184803
Infosys,22/09/2023,4438,Mumbai,116.0,Q3,333791
Reliance Industries,01/10/2021,4091,Mumbai,86.0,Q1,248758
Reliance Industries,07/10/2022,1186,Bangalore,61.0,Q2,174311
Adani Group,19/02/2021,3807,Bangalore,78.0,Q1,224805
Adani Group,22/04/2022,3071,Chennai,68.0,Q1,179011
Tata Group,26/02/2021,4976,Delhi,92.0,Q1,264003
Adani Group,17/02/2023,2445,Kolkata,114.0,Q3,300498
Adani Group,11/08/2023,4938,Bangalore,95.0,Q2,274593
Satya Papers,14/01/2022,2713,Mumbai,74.0,Q2,214325
Reliance Industries,23/04/2021,1546,Chennai,55.0,Q2,146295
Infosys,18/06/2021,2793,Kolkata,59.0,Q1,154687
Satya Papers,11/03/2022,4269,Delhi,119.0,Q3,341858
Satya Papers,04/08/2023,2574,Kolkata,44.0,Q1,116892
Satya Papers,30/09/2022,2064,Delhi,67.0,Q1,192993
Reliance Industries,14/04/2023,1313,Chennai,89.0,Q2,235556
Adani Group,18/02/2022,4739,Delhi,104.0,Q3,300651
Satya Papers,17/12/2021,2732,Chennai,109.0,Q3,286942
Reliance Industries,29/07/2022,3979,Kolkata,50.0,Q1,131078
Satya Papers,17/12/2021,3677,Mumbai,95.0,Q2,273653
Tata Group,09/09/2022,2017,Bangalore,36.0,Q1,102633
Satya Papers,09/07/2021,2233,Chennai,103.0,Q3,271408
Reliance Industries,30/04/2021,2934,Bangalore,89.0,Q2,255189
Reliance Industries,05/05/2023,2742,Chennai,72.0,Q2,190959
Satya Papers,03/03/2023,1473,Bangalore,45.0,Q1,130571
Adani Group,25/06/2021,1048,Delhi,31.0,Q1,90355
Satya Papers,22/12/2023,2853,Kolkata,75.0,Q2,198197
Reliance Industries,18/06/2021,2817,Kolkata,72.0,Q2,188810
Tata Group,09/07/2021,1112,Chennai,47.0,Q1,124430
Tata Group,03/12/2021,3860,Delhi,67.0,Q2,193628
Adani Group,15/07/2022,1299,Mumbai,64.0,Q2,183607
Infosys,20/10/2023,1174,Chennai,76.0,Q1,199629
Adani Group,25/02/2022,1726,Kolkata,70.0,Q2,184226
Tata Group,19/02/2021,2018,Delhi,44.0,Q1,127011
Reliance Industries,29/04/2022,4584,Chennai,103.0,Q3,272873
Satya Papers,03/09/2021,4609,Mumbai,85.0,Q1,245454
Adani Group,11/03/2022,3600,Kolkata,62.0,Q2,163342
Infosys,30/04/2021,4719,Chennai,103.0,Q3,271477
Reliance Industries,16/12/2022,2100,Delhi,58.0,Q1,168432
Satya Papers,19/03/2021,2638,Delhi,82.0,Q2,236053
Adani Group,01/07/2022,2466,Delhi,67.0,Q1,192558
Satya Papers,14/10/2022,2759,Mumbai,126.0,Q3,361723
Satya Papers,05/03/2021,4534,Bangalore,99.0,Q2,285694
Infosys,13/10/2023,1181,Delhi,71.0,Q2,204175
Reliance Industries,19/02/2021,2319,Bangalore,78.0,Q2,224459
Tata Group,10/03/2023,2862,Delhi,65.0,Q1,188253
Infosys,19/05/2023,3757,Mumbai,93.0,Q2,266850
Adani Group,15/12/2023,1902,Chennai,62.0,Q1,163467
Infosys,07/07/2023,4858,Bangalore,83.0,Q1,239200
Adani Group,09/04/2021,2570,Kolkata,26.0,Q1,68201
Infosys,25/06/2021,1078,Kolkata,57.0,Q2,151097
Satya Papers,09/04/2021,2296,Bangalore,75.0,Q1,216005
Infosys,20/05/2022,2981,Delhi,92.0,Q2,264838
Tata Group,22/01/2021,3408,Mumbai,97.0,Q1,279182
Adani Group,02/07/2021,2824,Chennai,92.0,Q1,241723
Infosys,14/01/2022,4329,Bangalore,115.0,Q3,332074
Infosys,16/09/2022,4585,Kolkata,59.0,Q2,155693
Infosys,24/03/2023,4202,Bangalore,110.0,Q3,317504
Satya Papers,24/03/2023,1974,Chennai,64.0,Q1,169494
Infosys,14/07/2023,2587,Kolkata,104.0,Q3,273805
Satya Papers,22/07/2022,2626,Chennai,94.0,Q2,248175
Adani Group,08/07/2022,1428,Chennai,20.0,Q1,54081
Tata Group,05/02/2021,4606,Mumbai,129.0,Q3,371319
Satya Papers,12/08/2022,4952,Kolkata,107.0,Q3,283032
Adani Group,05/03/2021,1928,Bangalore,54.0,Q1,156370
Tata Group,13/08/2021,4883,Delhi,130.0,Q3,375589
