,company,area,location,waste_generated,quality_grade
568,Satya Papers,0.4883807630172735,4,-0.5,1
2754,Satya Papers,0.10562942711569528,1,-0.125,1
7291,Tata Group,-0.23139058034049956,4,-0.625,1
9230,Tata Group,0.11954765751211632,2,0.1875,1
5010,Infosys,-0.2602212004473717,2,1.0625,0
2660,Infosys,-0.6747856343979123,4,0.5625,2
7774,Tata Group,-0.0922082763762893,2,-0.53125,1
9032,Satya Papers,-0.12054181682614638,2,0.28125,2
5121,Reliance Industries,0.4058655399527774,0,0.4375,2
5561,Reliance Industries,-0.9382378526158817,4,-0.5,1
1906,Tata Group,-0.18913880949422146,3,-0.8125,1
8634,Infosys,0.2020628805766124,1,-0.25,0
4904,Satya Papers,-0.7856343979122654,0,-1.71875,2
6701,Adani Group,-0.9168634273642351,4,-0.625,1
3898,Tata Group,0.33279483037156704,2,1.15625,1
3907,Adani Group,-0.21896358891512366,0,-0.25,1
6839,Adani Group,-0.874611656517957,0,-1.21875,2
8106,Satya Papers,0.46452093948055173,2,0.90625,0
7105,Tata Group,-0.6737914750838822,0,-0.03125,2
9729,Tata Group,0.8403131601839194,4,0.46875,1
4118,Reliance Industries,-0.13793960482167267,3,-0.09375,1
9511,Tata Group,-0.941717410214987,0,0.25,2
1858,Tata Group,0.9809867031191748,3,1.1875,0
8934,Tata Group,0.969553871007829,0,0.25,2
9024,Infosys,0.9939107742015658,2,0.34375,2
1901,Satya Papers,0.9476823660991673,2,0.46875,1
7045,Reliance Industries,-0.051944824158071334,0,-0.34375,1
4384,Satya Papers,-0.5321237728345968,0,-0.34375,2
2730,Reliance Industries,-0.2835839443270784,1,0.0,2
6118,Tata Group,-0.7433826270659873,0,-0.21875,0
7980,Satya Papers,0.1220330557971915,4,-0.28125,2
599,Tata Group,0.6956629799925438,1,0.15625,1
8080,Infosys,0.17820305703989064,3,1.0,0
147,Adani Group,0.6921834223934386,2,0.53125,1
7500,Satya Papers,0.2115073940598981,4,-0.09375,2
2588,Reliance Industries,-0.07481048838076301,0,0.09375,1
8366,Adani Group,-0.5410712066608674,0,0.75,0
2400,Tata Group,-0.6131477569280477,1,-0.875,0
3428,Reliance Industries,-0.13396296756555237,2,0.0,1
7772,Infosys,0.4292282838324842,2,0.40625,2
3644,Infosys,-0.23685845656766497,2,0.21875,2
4950,Reliance Industries,-0.5723872250528147,2,-1.65625,2
2010,Tata Group,0.22194606685721388,1,0.21875,1
2999,Reliance Industries,-0.03504411581956009,2,0.09375,1
9451,Satya Papers,0.38697651298620606,1,1.71875,0
4848,Infosys,0.8462781160680999,3,1.75,0
9783,Reliance Industries,0.9859574996893252,0,1.375,0
7247,Adani Group,-0.42624580589039396,2,-0.5625,1
5745,Satya Papers,-0.820429973903318,2,-0.65625,2
6316,Infosys,0.15334907418913882,1,0.4375,1
8231,Reliance Industries,-0.41033925686591277,2,-0.3125,0
7821,Adani Group,-0.6901951037653784,4,-0.625,2
1797,Infosys,-0.6255747483534236,0,-0.09375,1
2617,Reliance Industries,-0.5052814713557847,2,-0.4375,2
5464,Adani Group,-0.07431340872374798,1,0.03125,2
5602,Reliance Industries,0.7866285572262955,4,0.59375,2
4595,Reliance Industries,0.9814837827761899,0,0.28125,1
9193,Infosys,-0.37504660121784517,2,-0.3125,1
9002,Infosys,-0.6802535106250777,1,-1.09375,2
865,Reliance Industries,0.14937243693301852,1,-0.75,2
1636,Adani Group,-0.8542313905803405,4,1.125,0
4256,Infosys,0.5102522679259351,4,0.53125,1
186,Adani Group,0.37106996396172487,1,-0.03125,1
762,Adani Group,-0.6469491736050702,1,-0.25,2
6072,Adani Group,0.8408102398409345,3,-0.1875,1
9047,Satya Papers,-0.8656642226916863,3,0.40625,1
4361,Satya Papers,-0.8930036038275133,3,-0.78125,1
2351,Infosys,0.752330060892258,3,1.59375,0
4696,Tata Group,0.10513234745868025,1,0.625,1
9626,Reliance Industries,-0.5465390828880328,3,-0.21875,2
1993,Infosys,0.3889648316142662,2,0.03125,1
4049,Adani Group,-0.509258108611905,1,-0.9375,1
3172,Reliance Industries,0.6603703243444762,3,0.1875,2
4047,Reliance Industries,-0.7533242202062881,1,-0.78125,2
5766,Infosys,-0.3745495215608301,3,-0.15625,1
2734,Satya Papers,-0.4893749223313036,4,-0.71875,1
8315,Tata Group,-0.12849509133838696,2,0.125,2
4779,Tata Group,0.34074810488380763,3,1.78125,0
9700,Infosys,-0.969553871007829,0,-0.8125,2
9442,Adani Group,0.17273518081272524,4,-0.3125,2
4383,Reliance Industries,-0.2577358021622965,3,-0.4375,2
5701,Satya Papers,-0.84826643469616,4,0.15625,1
4965,Adani Group,-0.8035292655648067,1,-0.15625,2
9576,Infosys,0.9387349322728967,1,0.21875,2
6644,Satya Papers,0.15881695041630423,0,0.3125,2
7878,Satya Papers,-0.4123275754939729,1,-1.0,0
2976,Satya Papers,0.9059276749099043,0,0.6875,0
7336,Reliance Industries,0.6325338635516341,0,-0.40625,2
2592,Infosys,-0.6290543059525289,2,-1.21875,2
5348,Infosys,0.508263949297875,1,0.78125,0
3093,Infosys,-0.766248291288679,1,-1.25,2
4166,Tata Group,0.16229650801540946,3,-0.5625,1
5321,Adani Group,0.589785013048341,0,1.125,0
8028,Satya Papers,-0.7135578476450851,1,-0.0625,1
6738,Infosys,-0.7021250155337393,1,-1.0625,1
7221,Adani Group,-0.2940226171243942,4,0.0,2
3375,Infosys,-0.32335031688828136,4,0.1875,1
3830,Adani Group,0.6683235988567168,4,0.5,2
5826,Tata Group,0.8572138685224308,3,0.1875,2
5850,Reliance Industries,0.9511619236982727,0,0.46875,1
3666,Satya Papers,0.0961849136324096,4,0.09375,1
8824,Tata Group,0.44414067354293524,4,0.625,0
8176,Adani Group,-0.6459550142910402,2,-0.0625,2
6525,Tata Group,0.25723872250528146,4,0.03125,1
8179,Satya Papers,-0.19162420777929665,4,-0.6875,1
2271,Reliance Industries,0.9601093575245433,0,0.40625,2
5110,Satya Papers,-0.9069218342239344,4,-0.15625,2
6095,Adani Group,-0.05492730210016155,0,-0.84375,1
6000,Infosys,0.3899589909282963,2,0.46875,2
3088,Reliance Industries,-0.6375046601217845,1,-1.75,2
3930,Reliance Industries,-0.9586181185534982,2,-1.9375,2
9004,Infosys,-0.22840810239840934,0,-0.28125,2
7141,Satya Papers,-0.23288181931154467,1,0.375,2
5172,Tata Group,0.23387597862557474,0,0.5,1
9076,Adani Group,-0.3228532372312663,2,-0.65625,1
9227,Infosys,-0.142413321734808,4,0.125,1
3330,Reliance Industries,0.6524170498322356,1,0.5,0
6315,Infosys,-0.7607804150615136,1,-1.0625,2
3900,Reliance Industries,0.21051323474586803,4,-0.5625,1
8876,Reliance Industries,0.5957499689325214,2,0.5,1
931,Tata Group,-0.7493475829501678,4,-0.34375,1
7021,Infosys,-0.7622716540325587,3,-0.25,2
4054,Infosys,-0.889026966571393,2,0.5625,1
6638,Tata Group,-0.06685721386852243,3,0.625,0
9169,Satya Papers,0.21250155337392818,2,-0.40625,1
17,Adani Group,-0.8323598856716788,3,-1.21875,2
1200,Infosys,0.43221076177457435,4,0.625,0
6800,Tata Group,0.6747856343979123,3,-0.53125,1
3757,Satya Papers,-0.18068845532496583,2,0.09375,2
3864,Reliance Industries,-0.7423884677519572,2,-0.5,1
4066,Infosys,0.018640487138063874,0,-0.21875,1
6904,Reliance Industries,-0.1603081893873493,3,-0.34375,2
7161,Infosys,-0.6479433329191003,2,-2.09375,2
6111,Satya Papers,-0.8527401516092954,4,-0.96875,2
214,Reliance Industries,0.6727973157698521,0,0.0,0
276,Reliance Industries,0.4888778426742886,3,-0.34375,2
6940,Satya Papers,-0.8910152851994532,1,-0.8125,1
9992,Infosys,-0.5808375792220704,2,-1.15625,2
787,Adani Group,-0.19063004846526657,1,-0.90625,2
6594,Tata Group,0.5520069591151983,4,0.0625,1
8749,Reliance Industries,-0.7483534236361377,2,-0.90625,2
288,Satya Papers,0.8502547533242202,2,0.46875,1
551,Tata Group,-0.18665341120914627,3,-0.34375,1
3069,Reliance Industries,-0.9785013048340997,2,-1.25,2
9138,Tata Group,-0.6673294395426868,0,-0.1875,2
6310,Satya Papers,0.3755436808748602,2,-0.125,2
2614,Infosys,0.834348204299739,2,-0.59375,2
8635,Adani Group,0.6872126258232882,2,0.59375,1
7164,Infosys,0.4719771343357773,4,0.53125,1
1530,Adani Group,0.5172113831241456,2,-0.03125,1
7755,Infosys,-0.3218590779172362,3,-0.03125,1
5253,Tata Group,0.9039393562818442,2,0.625,0
9233,Adani Group,0.2900459798682739,2,0.125,2
6393,Infosys,0.47943332919100284,2,-0.8125,2
4125,Tata Group,-0.4108363365229278,2,-1.0,2
9541,Adani Group,0.24381757176587548,2,0.71875,0
8303,Adani Group,-0.4063626196097925,4,0.75,0
4041,Reliance Industries,0.5027960730707096,0,-0.8125,1
666,Adani Group,-0.34919845905306324,3,-0.59375,2
3950,Satya Papers,-0.09966447123151485,4,0.15625,1
3802,Infosys,-0.2835839443270784,0,-0.65625,2
6966,Tata Group,-0.38349695538710077,0,-0.4375,0
191,Infosys,0.9268050205045358,0,0.125,1
1887,Tata Group,0.941717410214987,3,0.71875,0
4885,Satya Papers,-0.32881819311544674,1,-1.0,2
1247,Satya Papers,-0.8964831614266187,2,0.34375,1
4422,Reliance Industries,0.806511743506897,3,0.46875,1
782,Satya Papers,0.9650801540946937,4,-0.15625,2
250,Adani Group,0.6290543059525289,3,0.96875,0
9823,Reliance Industries,-0.0420032310177706,2,-0.65625,1
6793,Satya Papers,0.8398160805269045,1,0.34375,1
9087,Tata Group,0.8249036908164533,0,0.75,0
688,Satya Papers,0.9009568783397539,0,0.0,0
1349,Reliance Industries,-0.548030321859078,1,0.34375,1
6598,Reliance Industries,0.06536597489747732,1,0.25,2
1354,Reliance Industries,0.07530756803777805,0,1.71875,0
3672,Reliance Industries,-0.806511743506897,4,-0.6875,2
5395,Satya Papers,-0.6022120044737169,1,0.09375,2
8989,Adani Group,-0.1439045607058531,0,0.1875,2
7065,Satya Papers,0.6479433329191003,1,1.46875,0
129,Infosys,-0.9819808624332049,3,-1.34375,2
1910,Satya Papers,0.7836460792842053,4,0.59375,1
2924,Satya Papers,-0.4968311171865291,4,-0.15625,1
9423,Tata Group,-0.9034422766248291,2,-0.25,2
8529,Satya Papers,-0.33130359140052196,1,0.03125,1
1705,Infosys,0.13545420653659748,3,-0.09375,1
6414,Reliance Industries,-0.5977382875605816,1,-0.15625,1
4324,Adani Group,-0.751832981235243,0,0.0625,1
2829,Adani Group,0.27612774947185287,4,-0.3125,1
4664,Adani Group,-0.9282962594755809,4,-0.78125,2
4974,Infosys,-0.5982353672175966,4,0.40625,2
5127,Reliance Industries,-0.6330309432086492,3,0.78125,0
9790,Adani Group,0.7592891760904685,4,0.34375,2
2681,Reliance Industries,0.5241704983223562,0,0.6875,0
8525,Adani Group,-0.8109854604200323,0,0.03125,2
7173,Tata Group,0.7125636883310551,2,0.34375,1
193,Satya Papers,0.6196097924692432,0,1.03125,0
4456,Infosys,0.9581210388964831,1,1.1875,0
1318,Tata Group,0.7433826270659873,4,-1.125,2
5373,Tata Group,-0.1583198707592892,4,0.6875,0
9520,Infosys,0.6007207655026718,3,-0.6875,2
526,Satya Papers,0.9317758170746863,0,1.0,0
4072,Infosys,0.5022989934136946,2,0.59375,1
7700,Infosys,0.6201068721262583,1,1.6875,1
2050,Satya Papers,0.995899092829626,0,0.46875,1
1445,Satya Papers,0.508263949297875,1,0.21875,2
7290,Infosys,-0.2557474835342364,4,0.59375,1
2361,Infosys,-0.02659376165030446,4,0.09375,1
8557,Adani Group,0.4565676649683112,2,0.0,2
21,Infosys,-0.6146389958990929,2,-1.1875,2
3881,Infosys,0.24182925313781534,2,-0.625,1
8736,Adani Group,0.223437305828259,1,1.375,0
3856,Adani Group,0.13893376413570274,4,0.4375,1
443,Satya Papers,0.08077544426494346,3,-0.4375,2
5028,Tata Group,-0.6191127128122281,0,0.625,0
482,Reliance Industries,-0.9606064371815584,4,-1.21875,2
4012,Satya Papers,0.42773704486143904,0,0.5,1
3490,Satya Papers,0.6747856343979123,1,0.28125,0
6728,Tata Group,0.3969181061265068,1,1.0,0
9001,Reliance Industries,-0.7185286442152355,2,-1.25,2
5109,Infosys,0.5321237728345968,1,0.15625,2
8427,Infosys,0.5306325338635516,4,0.34375,2
5465,Reliance Industries,0.8174474959612278,4,0.0625,1
4239,Tata Group,-0.0420032310177706,1,-1.9375,2
1944,Adani Group,-0.6196097924692432,1,0.5625,1
1028,Adani Group,-0.9854604200323102,0,-0.46875,1
6074,Satya Papers,-0.3894619112712812,3,-0.75,2
4482,Tata Group,0.4451348328569653,1,0.875,0
5334,Satya Papers,-0.3690816453336647,1,-0.59375,2
6886,Adani Group,-0.6976512986206039,3,0.21875,2
3016,Adani Group,-0.17870013669690568,3,0.65625,0
2618,Satya Papers,0.7906051944824158,1,1.03125,1
1272,Tata Group,-0.008201814340748105,1,-0.78125,1
3506,Infosys,-0.2075307568037778,0,-0.3125,1
6945,Infosys,0.3944327078414316,4,-0.8125,1
2388,Infosys,-0.41282465515098793,0,0.09375,2
2276,Infosys,0.2264197837703492,3,1.53125,0
2018,Infosys,0.0325587175344849,0,0.375,2
6951,Reliance Industries,-0.1816826146389959,0,-0.8125,1
4451,Satya Papers,-0.07481048838076301,2,-0.34375,1
5366,Satya Papers,0.47893624953398783,0,1.09375,2
819,Reliance Industries,-0.5102522679259351,0,-0.90625,2
699,Tata Group,-0.3417422641978377,1,0.15625,1
6022,Satya Papers,0.33726854728470235,0,0.0,1
1575,Satya Papers,-0.8015409469367466,4,0.3125,1
1769,Infosys,0.5733813843668448,1,-0.46875,1
2212,Tata Group,0.8403131601839194,4,0.53125,2
7237,Reliance Industries,0.7727103268298745,3,-0.59375,2
1419,Adani Group,0.30396421026469495,4,-0.09375,1
9177,Tata Group,-0.5037902323847396,4,-0.09375,2
7875,Tata Group,0.6623586429725363,0,0.1875,2
2843,Adani Group,-0.1762147384118305,4,-0.15625,2
6769,Tata Group,0.40089474338262704,2,-0.96875,2
6362,Tata Group,-0.19758916366347706,1,-0.09375,1
548,Tata Group,0.18764757052317635,2,0.34375,1
1949,Infosys,-0.8214241332173481,0,-1.875,2
9371,Adani Group,-0.5808375792220704,3,0.53125,1
6884,Adani Group,0.900459798682739,2,1.3125,0
9426,Tata Group,0.9814837827761899,1,0.53125,1
8163,Infosys,-0.14837827761898845,4,-0.34375,2
3970,Adani Group,-0.7911022741394308,3,-0.1875,2
4631,Infosys,-0.027587920964334534,0,-0.53125,2
630,Infosys,-0.0514477445010563,2,-0.03125,1
5595,Infosys,0.4207779296632285,3,0.65625,0
9045,Infosys,-0.5858083757922207,3,-0.4375,1
7452,Tata Group,0.18466509258108613,1,1.75,0
8906,Reliance Industries,-0.007207655026718032,4,0.03125,1
3911,Infosys,-0.3228532372312663,3,-1.15625,2
9712,Adani Group,0.037529514104635266,1,0.125,1
306,Adani Group,0.7090841307319498,4,-0.15625,2
6164,Satya Papers,0.42773704486143904,2,-0.3125,2
853,Infosys,-0.8318628060146639,1,-1.71875,2
1982,Adani Group,-0.6648440412576115,0,-0.53125,0
2454,Adani Group,0.8442897974400397,3,1.25,0
8521,Infosys,-0.47495961227786754,0,-0.28125,2
8478,Adani Group,-0.2428234124518454,3,-0.125,0
1764,Satya Papers,0.6091711196719274,2,-0.0625,2
3949,Tata Group,-0.21101031440288306,4,-0.875,2
7773,Adani Group,-0.7737044861439045,4,-0.1875,2
8741,Infosys,-0.5987324468746117,4,-0.53125,1
4348,Tata Group,0.40039766372561203,4,1.4375,0
5108,Reliance Industries,0.8925065241704984,2,1.03125,0
1154,Satya Papers,0.6071828010438672,0,1.78125,0
625,Infosys,0.9620976761526034,2,1.4375,0
525,Reliance Industries,0.3984093450975519,4,0.6875,0
3795,Adani Group,-0.8959860817696036,4,-1.65625,2
3597,Adani Group,0.2979992543805145,3,-0.34375,2
2723,Infosys,0.12998633030943207,4,0.78125,0
1276,Reliance Industries,0.657884926059401,3,-1.0,2
3254,Reliance Industries,0.7577979371194233,2,0.9375,0
5112,Reliance Industries,0.17720889772586057,1,-0.0625,2
6619,Reliance Industries,-0.8656642226916863,0,-1.78125,2
7968,Adani Group,0.0529389834721014,1,0.0,1
3311,Tata Group,0.11159438299987573,1,-0.0625,2
9485,Tata Group,0.7220082018143408,4,0.5,2
218,Satya Papers,-0.7239965204424009,2,0.53125,2
3511,Infosys,-0.16130234870137938,2,0.71875,0
2309,Adani Group,0.14986951659003356,0,0.46875,0
4206,Satya Papers,-0.820927053560333,0,-0.21875,1
963,Satya Papers,0.888032807257363,4,-0.15625,2
4827,Satya Papers,-0.3387597862557475,4,-0.03125,1
7109,Reliance Industries,0.2701627935876724,3,-0.1875,1
9659,Satya Papers,0.9357524543308066,3,-0.09375,0
9624,Adani Group,-0.04896234621598111,3,-0.40625,2
8933,Satya Papers,0.5773580216229651,3,0.0,1
4781,Reliance Industries,0.6454579346340251,0,-0.53125,2
6484,Adani Group,0.7220082018143408,0,0.65625,2
8767,Tata Group,0.7483534236361377,4,1.0,0
5096,Reliance Industries,0.793587672424506,2,0.46875,2
265,Satya Papers,-0.12253013545420653,3,-0.84375,1
8481,Infosys,0.658382005716416,3,1.375,0
1266,Reliance Industries,-0.34124518454082264,1,-0.9375,0
3564,Reliance Industries,0.29998757300857465,2,-0.09375,1
3563,Reliance Industries,0.2726481918727476,0,-0.375,2
5166,Infosys,-0.6459550142910402,3,-0.9375,1
4952,Tata Group,-0.549521560830123,4,-0.21875,1
7231,Tata Group,-0.7836460792842053,1,-0.53125,2
4804,Satya Papers,0.8701379396048217,2,1.0,0
1834,Infosys,0.9446998881570772,0,0.1875,2
5935,Tata Group,-0.588790853734311,4,-0.09375,2
7789,Tata Group,0.4610413818814465,3,-0.4375,1
2242,Tata Group,0.3258357151733565,2,0.46875,2
8319,Satya Papers,0.33180067105753697,2,-0.75,2
154,Satya Papers,0.8383248415558593,4,0.5,2
8503,Infosys,0.43867279731576986,2,-0.25,1
5857,Adani Group,0.7896110351683857,4,0.09375,1
8413,Satya Papers,0.13644836585062756,2,0.0625,1
574,Tata Group,0.6146389958990929,3,0.15625,0
5719,Tata Group,0.590282092705356,0,1.0,0
4548,Reliance Industries,0.03852367341866534,2,-0.71875,2
4982,Infosys,0.047471107244936,1,-0.5,1
8695,Reliance Industries,-0.30545544923574003,0,-0.8125,2
1803,Tata Group,-0.5803404995650553,0,0.5,2
7129,Infosys,0.9372436933018516,2,-0.21875,0
4545,Adani Group,-0.2552504038772213,3,0.4375,1
7749,Adani Group,-0.22194606685721388,1,-0.125,1
6949,Tata Group,-0.7160432459301603,3,0.46875,2
9135,Reliance Industries,0.12402137442525164,3,0.125,0
7632,Adani Group,-0.385982353672176,3,-0.28125,1
8608,Infosys,0.9357524543308066,1,2.6875,0
6473,Tata Group,0.6424754566919348,4,1.0,0
2186,Infosys,-0.16179942835839442,1,-0.53125,1
4731,Adani Group,0.9814837827761899,3,0.4375,1
4971,Tata Group,-0.11010314402883062,2,-0.6875,1
7892,Satya Papers,0.6862184665092581,3,0.4375,1
8720,Infosys,-0.48340996644712314,0,-0.3125,2
3221,Satya Papers,-0.4063626196097925,4,0.4375,1
607,Infosys,-0.45855598359637134,4,0.375,1
9691,Adani Group,-0.8790853734310924,4,-0.40625,2
3696,Reliance Industries,0.45507642599726605,1,0.4375,2
1454,Reliance Industries,-0.6862184665092581,0,-1.21875,2
8663,Satya Papers,0.9282962594755809,2,0.25,1
3273,Reliance Industries,-0.6956629799925438,0,-0.59375,2
4825,Reliance Industries,-0.588790853734311,1,-0.34375,1
4435,Reliance Industries,0.38051447744501055,3,1.0625,0
9967,Tata Group,0.3536721759661986,3,0.34375,2
8797,Satya Papers,-0.6007207655026718,0,-0.25,2
4813,Reliance Industries,0.7155461662731453,3,-0.4375,1
2235,Satya Papers,-0.7568037778053933,3,-0.53125,1
232,Reliance Industries,-0.32086491860320615,1,0.375,2
5071,Infosys,0.13595128619361252,2,0.5625,2
5490,Satya Papers,-0.20951907543183795,3,-0.3125,2
7394,Satya Papers,0.8910152851994532,2,0.34375,1
4634,Reliance Industries,-0.7677395302597241,3,-0.03125,1
5229,Tata Group,-0.07829004597986827,0,-0.28125,2
4078,Satya Papers,0.7553125388343482,3,0.375,2
606,Adani Group,0.25027960730707094,0,0.28125,1
167,Adani Group,0.9009568783397539,3,-0.1875,2
7918,Tata Group,0.8900211258854231,1,-0.25,1
870,Reliance Industries,0.4918603206163788,3,-0.625,2
7086,Reliance Industries,0.28408102398409346,0,0.8125,0
3867,Reliance Industries,0.24580589039393563,2,-0.09375,2
7750,Reliance Industries,-0.10214986951659004,3,1.1875,0
792,Infosys,-0.8403131601839194,1,-0.8125,0
2918,Adani Group,0.7568037778053933,3,0.03125,1
7312,Satya Papers,0.644463775319995,2,0.65625,0
9427,Satya Papers,-0.30396421026469495,0,-0.65625,1
3548,Adani Group,0.5346091711196719,2,0.40625,2
1252,Infosys,0.29750217472349944,2,0.75,0
4152,Satya Papers,0.8577109481794457,0,1.15625,0
6745,Infosys,-0.9765129862060395,4,-0.15625,2
7424,Adani Group,-0.07779296632285324,2,-0.28125,1
4586,Infosys,0.8442897974400397,0,-1.125,2
2603,Adani Group,-0.18615633155213124,2,-0.625,2
3166,Reliance Industries,0.8383248415558593,0,0.46875,0
8271,Satya Papers,-0.5838200571641605,2,-0.375,2
4032,Satya Papers,-0.12849509133838696,1,-0.71875,1
2375,Adani Group,-0.40387722132471726,4,-0.71875,1
2867,Tata Group,-0.6255747483534236,3,0.5,1
3704,Reliance Industries,-0.45358518702622097,2,-0.25,0
2954,Infosys,0.7423884677519572,1,1.09375,0
7280,Adani Group,-0.16925562321361998,2,0.3125,2
583,Infosys,-0.9486765254131975,1,-1.59375,2
3557,Adani Group,0.31390580340499563,3,0.6875,0
1851,Reliance Industries,-0.02361128370821424,3,0.5,2
2776,Reliance Industries,0.9158692680502051,1,0.75,0
7799,Adani Group,-0.4525910277121909,2,-1.375,2
3880,Satya Papers,-0.7751957251149497,2,0.03125,1
1584,Satya Papers,-0.01665216851000373,4,0.1875,1
1700,Adani Group,-0.1667702249285448,2,0.1875,1
6861,Infosys,0.5813346588790854,2,-0.4375,2
8262,Infosys,0.47893624953398783,0,0.65625,0
1357,Infosys,-0.2940226171243942,1,0.28125,1
7564,Satya Papers,-0.03106747856343979,1,-0.78125,2
474,Adani Group,-0.3467130607679881,1,-0.78125,1
7530,Reliance Industries,-0.5808375792220704,3,-0.28125,1
2622,Satya Papers,-0.3258357151733565,1,-0.75,2
429,Reliance Industries,0.17273518081272524,0,0.34375,1
4292,Satya Papers,-0.13147756928047719,3,-0.5,2
1708,Adani Group,0.9620976761526034,1,1.34375,0
6610,Satya Papers,0.8944948427985585,3,1.1875,0
8272,Infosys,0.2075307568037778,4,-0.125,1
6826,Infosys,-0.3785261588169504,1,-0.09375,2
4159,Reliance Industries,-0.7135578476450851,3,-1.0,2
8789,Adani Group,0.24978252765005593,3,1.375,0
7553,Tata Group,0.1329688082515223,1,-0.28125,1
9313,Tata Group,0.7036162545047844,0,1.09375,0
6999,Satya Papers,0.43071952280352926,0,0.625,0
2848,Tata Group,0.29352553746737914,4,0.15625,2
5759,Tata Group,0.6812476699391078,3,-0.8125,2
8980,Adani Group,-0.3566546539082888,2,-0.21875,1
224,Satya Papers,0.9675655523797688,4,-0.15625,2
7491,Tata Group,0.9307816577606561,4,0.5,1
5443,Infosys,-0.45060270908413075,1,-1.8125,2
2717,Reliance Industries,0.46700633776562694,0,1.46875,0
9938,Reliance Industries,-0.6941717410214987,3,-1.4375,2
8700,Infosys,0.11557102025599603,2,-0.28125,1
3606,Reliance Industries,0.6529141294892506,4,0.46875,2
533,Infosys,0.3293152727724618,3,0.5,2
4313,Adani Group,0.657884926059401,3,0.5625,1
3577,Infosys,0.3253386355163415,4,0.03125,2
2946,Reliance Industries,0.28159562569901825,4,0.1875,2
2521,Infosys,-0.7468621846650926,2,-1.3125,2
3120,Adani Group,0.3496955387100783,1,-0.65625,2
907,Satya Papers,-0.7597862557474835,0,-0.4375,1
201,Satya Papers,0.43121660246054433,3,0.71875,0
8196,Satya Papers,0.4476202311420405,0,0.65625,0
